fte_id,available_start_week_iso,available_end_week_iso
fte_hengelo_1,2025-W01,2029-W36
fte_hengelo_2,2025-W01,2029-W36
fte_hengelo_3,2025-W01,2029-W36
fte_hengelo_4,2025-W01,2029-W36
fte_sofia_1,2025-W01,2029-W36
fte_sofia_2,2025-W01,2029-W36
fte_sofia_3,2025-W01,2029-W36
fte_sofia_4,2025-W01,2029-W36
