resource_id,utilization_percent
setup_sofia_2,20.28
fte_hengelo_4,20.17
fte_hengelo_2,23.76
setup_hengelo_2,20.21
fte_hengelo_1,19.87
setup_hengelo_3,17.28
setup_sofia_3,18.32
setup_sofia_4,17.59
fte_sofia_1,23.29
fte_sofia_4,18.70
setup_hengelo_1,17.70
setup_hengelo_4,23.04
fte_sofia_2,22.90
setup_sofia_1,22.04
fte_hengelo_3,20.24
fte_sofia_3,19.14
