resource_id,utilization_percent
fte_sofia_4,14.15
fte_sofia_2,14.78
setup_sofia_4,15.66
fte_hengelo_1,15.58
fte_hengelo_3,15.25
fte_hengelo_4,15.51
setup_sofia_1,15.36
setup_hengelo_3,14.63
setup_sofia_3,13.35
setup_hengelo_2,14.01
setup_hengelo_4,14.74
setup_hengelo_1,16.39
fte_sofia_1,14.08
fte_hengelo_2,13.53
setup_sofia_2,13.68
fte_sofia_3,14.92
