equipment_id,available_start_week_iso,available_end_week_iso
setup_equipment_1771844062290_dnygabr9q,2025-W01,2035-W52
setup_equipment_1771844062514_d3pz8t1n8,2025-W01,2035-W52
setup_equipment_1771844063100_r20sl0mni,2025-W01,2035-W52
setup_equipment_1771844063460_b5pbyfevk,2025-W01,2035-W52
setup_equipment_1771844064000_x8y0p68e1,2025-W01,2035-W52
setup_equipment_1771844064495_ho8l50cp6,2025-W01,2035-W52
setup_equipment_1771844064990_4vdimi02x,2025-W01,2035-W52
setup_equipment_1771844065395_92rzt3qej,2025-W01,2035-W52
