equipment_id,test_id,test_name,start,end
setup_hengelo_2,mwcu_a7_2.1_HV S_seq19,HV S,2027-12-21T00:00:00,2028-01-06T00:00:00
setup_hengelo_2,mwcu_a7_2.1_M-03_seq20,M-03,2028-01-06T00:00:00,2028-01-22T00:00:00
setup_hengelo_2,mwcu_a7_2.1_P-02-L_seq21,P-02-L,2028-01-22T00:00:00,2028-01-28T00:00:00
setup_hengelo_2,mwcu_a7_2.1_K-10_seq22,K-10,2028-01-28T00:00:00,2028-02-03T00:00:00
setup_hengelo_2,mwcu_a7_2.1_P-02-L_seq23,P-02-L,2028-02-03T00:00:00,2028-02-09T00:00:00
setup_hengelo_2,mwcu_a7_2.2_HV S_seq19,HV S,2028-02-12T00:00:00,2028-02-28T00:00:00
setup_hengelo_2,mwcu_b10_2.2_M-05_seq15,M-05,2028-04-07T00:00:00,2028-04-15T00:00:00
setup_hengelo_2,mwcu_b10_2.2_P-02-L_seq16,P-02-L,2028-04-15T00:00:00,2028-04-21T00:00:00
setup_hengelo_2,mwcu_b10_2.1_P-02-L_seq27,P-02-L,2028-05-22T00:00:00,2028-05-28T00:00:00
setup_hengelo_3,mwcu_b10_6_Leak_seq1,Leak,2027-01-11T00:00:00,2027-01-14T00:00:00
setup_hengelo_3,mwcu_b10_7_K-01_seq2,K-01,2027-01-14T00:00:00,2027-01-18T00:00:00
setup_hengelo_3,mwcu_a7_2.1_K-01_seq2,K-01,2027-01-18T00:00:00,2027-01-22T00:00:00
setup_hengelo_3,mwcu_a7_2.1_K-04_seq3,K-04,2027-01-22T00:00:00,2027-01-30T00:00:00
setup_hengelo_3,mwcu_a7_5_K-01_seq3,K-01,2027-01-31T00:00:00,2027-02-04T00:00:00
setup_hengelo_3,mwcu_a7_2.1_P-03_seq4,P-03,2027-02-04T00:00:00,2027-03-09T00:00:00
setup_hengelo_3,mwcu_a7_6_P-03_seq3,P-03,2027-03-15T00:00:00,2027-04-17T00:00:00
setup_hengelo_3,mwcu_b10_4_VDA_seq4,VDA,2027-04-19T00:00:00,2027-04-28T00:00:00
setup_hengelo_3,mwcu_a7_2.2_K-06_seq8,K-06,2027-05-30T00:00:00,2027-06-15T00:00:00
setup_hengelo_3,mwcu_a7_2.2_P-02-L_seq9,P-02-L,2027-06-15T00:00:00,2027-06-21T00:00:00
setup_hengelo_3,mwcu_a7_2.1_P-02-L_seq9,P-02-L,2027-06-24T00:00:00,2027-06-30T00:00:00
setup_hengelo_3,mwcu_a7_5_P-03_seq5,P-03,2027-07-03T00:00:00,2027-08-05T00:00:00
setup_hengelo_3,mwcu_b10_5a_P-03-E_seq4,P-03-E,2027-10-09T00:00:00,2027-11-11T00:00:00
setup_hengelo_3,mwcu_b10_2.1_M-04_seq17,M-04,2027-11-26T00:00:00,2027-12-12T00:00:00
setup_hengelo_3,mwcu_a7_5b_P-03-E_seq1,P-03-E,2028-01-10T00:00:00,2028-02-12T00:00:00
setup_hengelo_3,mwcu_b10_2.2_K-03_seq13,K-03,2028-02-12T00:00:00,2028-02-16T00:00:00
setup_hengelo_3,mwcu_b10_2.2_P-02_seq14,P-02,2028-02-16T00:00:00,2028-02-22T00:00:00
setup_hengelo_3,mwcu_a7_2.2_Leak_seq20,Leak,2028-02-28T00:00:00,2028-03-02T00:00:00
setup_hengelo_3,mwcu_b10_3_P-02_seq12,P-02,2028-03-02T00:00:00,2028-03-08T00:00:00
setup_hengelo_3,mwcu_a7_3_K-02_seq14,K-02,2028-04-10T00:00:00,2028-04-26T00:00:00
setup_hengelo_3,mwcu_b10_2.1_K-02_seq28,K-02,2028-05-28T00:00:00,2028-06-13T00:00:00
setup_hengelo_3,mwcu_b10_7_P-03_seq12,P-03,2028-07-20T00:00:00,2028-08-22T00:00:00
setup_hengelo_4,mwcu_a7_2.1_Leak_seq1,Leak,2027-01-11T00:00:00,2027-01-14T00:00:00
setup_hengelo_4,mwcu_a7_7_K-01_seq2,K-01,2027-01-14T00:00:00,2027-01-18T00:00:00
setup_hengelo_4,mwcu_a7_4_K-01_seq2,K-01,2027-01-31T00:00:00,2027-02-04T00:00:00
setup_hengelo_4,mwcu_b10_6_K-12_seq7,K-12,2027-03-10T00:00:00,2027-04-04T00:00:00
setup_hengelo_4,mwcu_b10_6_Leak_seq8,Leak,2027-04-19T00:00:00,2027-04-22T00:00:00
setup_hengelo_4,mwcu_a7_4_P-03-E_seq6,P-03-E,2027-04-22T00:00:00,2027-05-25T00:00:00
setup_hengelo_4,mwcu_a7_4_P-04_seq7,P-04,2027-05-25T00:00:00,2027-06-10T00:00:00
setup_hengelo_4,mwcu_a7_2.2_K-09_seq10,K-09,2027-06-21T00:00:00,2027-07-12T00:00:00
setup_hengelo_4,mwcu_a7_2.2_Leak_seq11,Leak,2027-07-12T00:00:00,2027-07-15T00:00:00
setup_hengelo_4,mwcu_a7_2.1_Leak_seq11,Leak,2027-07-21T00:00:00,2027-07-24T00:00:00
setup_hengelo_4,mwcu_a7_5_P-03_seq6,P-03,2027-09-06T00:00:00,2027-10-09T00:00:00
setup_hengelo_4,mwcu_a7_2.1_K-03_seq13,K-03,2027-10-09T00:00:00,2027-10-13T00:00:00
setup_hengelo_4,mwcu_a7_2.1_M-05_seq15,M-05,2027-10-19T00:00:00,2027-10-27T00:00:00
setup_hengelo_4,mwcu_a7_2.2_P-02-L_seq16,P-02-L,2027-10-27T00:00:00,2027-11-02T00:00:00
setup_hengelo_4,mwcu_b10_2.1_K-03_seq13,K-03,2027-11-02T00:00:00,2027-11-06T00:00:00
setup_hengelo_4,mwcu_a7_7_P-03_seq8,P-03,2027-11-22T00:00:00,2027-12-25T00:00:00
setup_hengelo_4,mwcu_b10_2.1_HV S_seq19,HV S,2028-01-14T00:00:00,2028-01-30T00:00:00
setup_hengelo_4,mwcu_a7_2.1_K-11_seq24,K-11,2028-02-09T00:00:00,2028-02-15T00:00:00
setup_hengelo_4,mwcu_b10_2.1_P-02-L_seq21,P-02-L,2028-02-15T00:00:00,2028-02-21T00:00:00
setup_hengelo_4,mwcu_a7_7_P-03_seq10,P-03,2028-03-18T00:00:00,2028-04-20T00:00:00
setup_hengelo_4,mwcu_a7_7_L-02_seq11,L-02,2028-04-20T00:00:00,2028-07-13T00:00:00
setup_hengelo_4,mwcu_a7_7_Leak_seq15,Leak,2028-10-03T00:00:00,2028-10-06T00:00:00
setup_sofia_1,mwcu_a7_2.2_Leak_seq1,Leak,2027-01-11T00:00:00,2027-01-14T00:00:00
setup_sofia_1,mwcu_a7_2.2_K-01_seq2,K-01,2027-01-14T00:00:00,2027-01-18T00:00:00
setup_sofia_1,mwcu_a7_7_K-02_seq3,K-02,2027-01-18T00:00:00,2027-02-03T00:00:00
setup_sofia_1,mwcu_b10_7_P-03_seq4,P-03,2027-02-03T00:00:00,2027-03-08T00:00:00
setup_sofia_1,mwcu_a7_2.1_K-02_seq5,K-02,2027-03-09T00:00:00,2027-03-25T00:00:00
setup_sofia_1,mwcu_a7_2.1_K-05_seq6,K-05,2027-03-25T00:00:00,2027-05-06T00:00:00
setup_sofia_1,mwcu_b10_4_P-03-E_seq6,P-03-E,2027-05-06T00:00:00,2027-06-08T00:00:00
setup_sofia_1,mwcu_a7_2.1_K-06_seq8,K-06,2027-06-08T00:00:00,2027-06-24T00:00:00
setup_sofia_1,mwcu_a7_2.1_K-09_seq10,K-09,2027-06-30T00:00:00,2027-07-21T00:00:00
setup_sofia_1,mwcu_a7_7_L-02_seq7,L-02,2027-08-30T00:00:00,2027-11-22T00:00:00
setup_sofia_1,mwcu_b10_7_P-03_seq8,P-03,2027-11-29T00:00:00,2028-01-01T00:00:00
setup_sofia_1,mwcu_b10_7_L-02_seq9,L-02,2028-01-01T00:00:00,2028-03-25T00:00:00
setup_sofia_1,mwcu_a7_2.1_P-02-L_seq27,P-02-L,2028-04-07T00:00:00,2028-04-13T00:00:00
setup_sofia_1,mwcu_a7_2.1_K-02_seq28,K-02,2028-04-13T00:00:00,2028-04-29T00:00:00
setup_sofia_1,mwcu_a7_2.1_P-03-E_seq29,P-03-E,2028-04-29T00:00:00,2028-06-01T00:00:00
