fte_id,test_id,test_name,start,end
fte_sofia_1,dcc_21a_5_Leak_seq1,Leak,2027-07-22T00:00:00,2027-07-25T00:00:00
fte_sofia_1,mwcu_a7_5_K-01_seq2,K-01,2027-07-25T00:00:00,2027-07-28T00:00:00
fte_sofia_1,dcc_21a_3_P-02_seq8,P-02,2027-07-28T00:00:00,2027-08-02T00:00:00
fte_sofia_1,dcc_21a_2a_P-03_seq1,P-03,2027-09-06T00:00:00,2027-10-04T00:00:00
fte_sofia_1,mwcu_a7_2a_P-03_seq1,P-03,2027-10-04T00:00:00,2027-11-01T00:00:00
fte_sofia_1,mwcu_a7_5_P-03_seq3,P-03,2027-11-01T00:00:00,2027-11-29T00:00:00
fte_sofia_1,dcc_21a_2a_M-03_seq3,M-03,2027-11-29T00:00:00,2027-12-13T00:00:00
fte_sofia_1,mwcu_a7_3_P-02_seq10,P-02,2027-12-13T00:00:00,2027-12-18T00:00:00
fte_sofia_1,mwcu_a7_6_P-03-E_seq9,P-03-E,2028-01-10T00:00:00,2028-02-07T00:00:00
fte_sofia_1,dcc_21a_5_M-07_seq4,M-07,2028-02-07T00:00:00,2028-03-06T00:00:00
fte_sofia_1,mwcu_b10_4_VDA_seq4,VDA,2028-03-06T00:00:00,2028-03-14T00:00:00
fte_sofia_1,mwcu_a7_4_VDA_seq4,VDA,2028-03-14T00:00:00,2028-03-22T00:00:00
fte_sofia_1,dcc_21a_6_P-04_seq10,P-04,2028-03-22T00:00:00,2028-04-05T00:00:00
fte_sofia_1,mwcu_b10_5_M-07_seq4,M-07,2028-04-05T00:00:00,2028-05-03T00:00:00
fte_sofia_1,mwcu_a7_5_M-07_seq4,M-07,2028-05-03T00:00:00,2028-05-31T00:00:00
fte_sofia_1,dcc_21a_2a_K-10_seq5,K-10,2028-05-31T00:00:00,2028-06-05T00:00:00
fte_sofia_1,dcc_21a_5_Leak_seq7,Leak,2028-06-05T00:00:00,2028-06-08T00:00:00
fte_sofia_1,dcc_21a_5_P-02-L_seq8,P-02-L,2028-06-08T00:00:00,2028-06-13T00:00:00
fte_sofia_1,dcc_21a_5_K-14_seq9,K-14,2028-06-13T00:00:00,2028-07-08T00:00:00
fte_sofia_1,mwcu_b10_2a_P-02-L_seq10,P-02-L,2028-07-08T00:00:00,2028-07-13T00:00:00
fte_sofia_1,mwcu_b10_3_K-02_seq14,K-02,2028-07-13T00:00:00,2028-07-27T00:00:00
fte_sofia_1,dcc_21a_4_VDA_seq4,VDA,2028-07-27T00:00:00,2028-08-04T00:00:00
fte_sofia_1,dcc_21a_5_Leak_seq10,Leak,2028-08-04T00:00:00,2028-08-07T00:00:00
fte_sofia_1,mwcu_b10_2a_K-02_seq11,K-02,2028-09-04T00:00:00,2028-09-18T00:00:00
fte_sofia_1,mwcu_a7_2b_HV S_seq2,HV S,2028-09-18T00:00:00,2028-10-02T00:00:00
fte_sofia_1,mwcu_b10_2a_P-03-E_seq12,P-03-E,2028-10-02T00:00:00,2028-10-30T00:00:00
fte_sofia_1,dcc_21a_3_P-03-E_seq15,P-03-E,2028-10-30T00:00:00,2028-11-27T00:00:00
fte_sofia_1,mwcu_b10_3_Leak_seq16,Leak,2028-11-27T00:00:00,2028-11-30T00:00:00
fte_sofia_1,dcc_21a_3_Leak_seq16,Leak,2028-11-30T00:00:00,2028-12-03T00:00:00
fte_sofia_1,mwcu_b10_2b_P-04_seq4,P-04,2028-12-03T00:00:00,2028-12-17T00:00:00
fte_sofia_1,mwcu_a7_4_P-03-E_seq6,P-03-E,2029-01-01T00:00:00,2029-01-29T00:00:00
fte_sofia_1,mwcu_a7_2b_P-04_seq4,P-04,2029-01-29T00:00:00,2029-02-12T00:00:00
fte_sofia_1,mwcu_b10_4_P-04_seq7,P-04,2029-02-12T00:00:00,2029-02-26T00:00:00
fte_sofia_1,mwcu_a7_2a_P-04_seq14,P-04,2029-02-26T00:00:00,2029-03-12T00:00:00
fte_sofia_1,mwcu_b10_5_P-04_seq12,P-04,2029-03-12T00:00:00,2029-03-26T00:00:00
fte_sofia_2,mwcu_b10_6_Leak_seq1,Leak,2026-08-31T00:00:00,2026-09-03T00:00:00
fte_sofia_2,mwcu_a7_6_P-03_seq3,P-03,2026-09-06T00:00:00,2026-10-04T00:00:00
fte_sofia_2,mwcu_b10_2_Leak_seq1,Leak,2026-10-04T00:00:00,2026-10-07T00:00:00
fte_sofia_2,mwcu_a7_2_K-04_seq3,K-04,2026-10-07T00:00:00,2026-10-14T00:00:00
fte_sofia_2,mwcu_a7_2_P-03_seq4,P-03,2026-10-14T00:00:00,2026-11-11T00:00:00
fte_sofia_2,mwcu_a7_2_K-02_seq5,K-02,2026-11-11T00:00:00,2026-11-25T00:00:00
fte_sofia_2,dcc_21a_3_K-02_seq3,K-02,2026-11-25T00:00:00,2026-12-09T00:00:00
fte_sofia_2,dcc_21a_6_P-02-L_seq6,P-02-L,2026-12-09T00:00:00,2026-12-14T00:00:00
fte_sofia_2,mwcu_a7_6_K-12_seq7,K-12,2027-01-11T00:00:00,2027-02-01T00:00:00
fte_sofia_2,dcc_21a_2_K-05_seq6,K-05,2027-02-01T00:00:00,2027-03-08T00:00:00
fte_sofia_2,dcc_21a_2_P-03-L_seq7,P-03-L,2027-03-08T00:00:00,2027-04-05T00:00:00
fte_sofia_2,dcc_21a_2_K-06_seq8,K-06,2027-04-05T00:00:00,2027-04-19T00:00:00
fte_sofia_2,dcc_21a_2_P-02-L_seq9,P-02-L,2027-04-19T00:00:00,2027-04-24T00:00:00
fte_sofia_2,mwcu_b10_2_P-02-L_seq9,P-02-L,2027-04-24T00:00:00,2027-04-29T00:00:00
fte_sofia_2,mwcu_b10_2_K-09_seq10,K-09,2027-04-29T00:00:00,2027-05-16T00:00:00
fte_sofia_2,mwcu_b10_2_Leak_seq11,Leak,2027-05-16T00:00:00,2027-05-19T00:00:00
fte_sofia_2,mwcu_b10_2_P-03-L_seq12,P-03-L,2027-05-19T00:00:00,2027-06-16T00:00:00
fte_sofia_2,mwcu_b10_2_K-03_seq13,K-03,2027-06-16T00:00:00,2027-06-19T00:00:00
fte_sofia_2,dcc_21a_2_M-05_seq15,M-05,2027-06-19T00:00:00,2027-06-26T00:00:00
fte_sofia_2,dcc_21a_2_P-02-L_seq16,P-02-L,2027-06-26T00:00:00,2027-07-01T00:00:00
fte_sofia_2,mwcu_b10_3_L-03_seq7,L-03,2027-07-01T00:00:00,2027-07-26T00:00:00
fte_sofia_2,dcc_21a_5_K-01_seq2,K-01,2027-07-26T00:00:00,2027-07-29T00:00:00
fte_sofia_2,mwcu_b10_3_P-02_seq8,P-02,2027-07-29T00:00:00,2027-08-03T00:00:00
fte_sofia_2,mwcu_b10_2a_P-03_seq1,P-03,2027-09-06T00:00:00,2027-10-04T00:00:00
fte_sofia_2,dcc_21a_3_L-03_seq9,L-03,2027-10-04T00:00:00,2027-10-29T00:00:00
fte_sofia_2,dcc_21a_6_P-03-E_seq9,P-03-E,2027-10-29T00:00:00,2027-11-26T00:00:00
fte_sofia_2,mwcu_a7_2a_HV S_seq2,HV S,2027-11-26T00:00:00,2027-12-10T00:00:00
fte_sofia_2,dcc_21a_3_P-02_seq10,P-02,2027-12-10T00:00:00,2027-12-15T00:00:00
fte_sofia_2,mwcu_b10_2a_P-02-L_seq4,P-02-L,2027-12-15T00:00:00,2027-12-20T00:00:00
fte_sofia_2,mwcu_b10_3_L-03_seq9,L-03,2028-01-10T00:00:00,2028-02-04T00:00:00
fte_sofia_2,mwcu_a7_2a_M-03_seq3,M-03,2028-02-04T00:00:00,2028-02-18T00:00:00
fte_sofia_2,mwcu_b10_3_P-02_seq10,P-02,2028-02-18T00:00:00,2028-02-23T00:00:00
fte_sofia_2,mwcu_b10_3_L-03_seq11,L-03,2028-02-23T00:00:00,2028-03-19T00:00:00
fte_sofia_2,dcc_21a_5_P-02_seq5,P-02,2028-03-19T00:00:00,2028-03-24T00:00:00
fte_sofia_2,mwcu_a7_2a_P-02-L_seq6,P-02-L,2028-03-24T00:00:00,2028-03-29T00:00:00
fte_sofia_2,mwcu_a7_2a_K-11_seq7,K-11,2028-03-29T00:00:00,2028-04-03T00:00:00
fte_sofia_2,mwcu_b10_3_P-02_seq12,P-02,2028-04-03T00:00:00,2028-04-08T00:00:00
fte_sofia_2,mwcu_a7_2a_P-02-L_seq8,P-02-L,2028-04-08T00:00:00,2028-04-13T00:00:00
fte_sofia_2,mwcu_b10_3_P-03_seq13,P-03,2028-04-13T00:00:00,2028-05-11T00:00:00
fte_sofia_2,mwcu_b10_5_P-02_seq5,P-02,2028-05-11T00:00:00,2028-05-16T00:00:00
fte_sofia_2,mwcu_b10_5_C-01_seq6,C-01,2028-05-16T00:00:00,2028-06-06T00:00:00
fte_sofia_2,mwcu_b10_5_Leak_seq7,Leak,2028-06-06T00:00:00,2028-06-09T00:00:00
fte_sofia_2,mwcu_b10_5_P-02-L_seq8,P-02-L,2028-06-09T00:00:00,2028-06-14T00:00:00
fte_sofia_2,mwcu_b10_5_K-14_seq9,K-14,2028-06-14T00:00:00,2028-07-09T00:00:00
fte_sofia_2,mwcu_a7_2a_P-02-L_seq10,P-02-L,2028-07-09T00:00:00,2028-07-14T00:00:00
fte_sofia_2,mwcu_a7_2a_K-02_seq11,K-02,2028-07-14T00:00:00,2028-07-28T00:00:00
fte_sofia_2,mwcu_b10_4_Leakage_seq5,Leakage,2028-07-28T00:00:00,2028-08-04T00:00:00
fte_sofia_2,mwcu_b10_5_Leak_seq10,Leak,2028-08-04T00:00:00,2028-08-07T00:00:00
fte_sofia_2,mwcu_a7_5_P-03-E_seq11,P-03-E,2028-09-04T00:00:00,2028-10-02T00:00:00
fte_sofia_2,dcc_21a_3_K-02_seq14,K-02,2028-10-02T00:00:00,2028-10-16T00:00:00
fte_sofia_2,dcc_21a_2a_P-03-E_seq12,P-03-E,2028-10-16T00:00:00,2028-11-13T00:00:00
fte_sofia_2,mwcu_b10_6_Leak_seq8,Leak,2028-11-13T00:00:00,2028-11-16T00:00:00
fte_sofia_2,mwcu_b10_2b_Leak_seq3,Leak,2028-11-16T00:00:00,2028-11-19T00:00:00
fte_sofia_2,mwcu_b10_6_P-03-E_seq9,P-03-E,2028-11-19T00:00:00,2028-12-17T00:00:00
fte_sofia_2,mwcu_a7_2b_Leak_seq3,Leak,2029-01-01T00:00:00,2029-01-04T00:00:00
fte_sofia_2,dcc_21a_4_P-03-E_seq6,P-03-E,2029-01-04T00:00:00,2029-02-01T00:00:00
fte_sofia_2,dcc_21a_2b_Leak_seq3,Leak,2029-02-01T00:00:00,2029-02-04T00:00:00
fte_sofia_2,dcc_21a_2b_P-04_seq4,P-04,2029-02-04T00:00:00,2029-02-18T00:00:00
fte_sofia_2,mwcu_b10_2a_Leak_seq13,Leak,2029-02-18T00:00:00,2029-02-21T00:00:00
fte_sofia_2,mwcu_a7_2a_Leak_seq13,Leak,2029-02-21T00:00:00,2029-02-24T00:00:00
fte_sofia_2,mwcu_b10_6_P-04_seq10,P-04,2029-02-24T00:00:00,2029-03-10T00:00:00
fte_sofia_2,mwcu_a7_5_P-04_seq12,P-04,2029-03-12T00:00:00,2029-03-26T00:00:00
fte_sofia_3,mwcu_a7_6_Leak_seq1,Leak,2026-08-31T00:00:00,2026-09-03T00:00:00
fte_sofia_3,mwcu_b10_6_K-01_seq2,K-01,2026-09-03T00:00:00,2026-09-06T00:00:00
fte_sofia_3,dcc_21a_6_P-03_seq3,P-03,2026-09-06T00:00:00,2026-10-04T00:00:00
fte_sofia_3,dcc_21a_2_K-01_seq2,K-01,2026-10-04T00:00:00,2026-10-07T00:00:00
fte_sofia_3,mwcu_b10_2_K-01_seq2,K-01,2026-10-07T00:00:00,2026-10-10T00:00:00
fte_sofia_3,mwcu_b10_2_K-04_seq3,K-04,2026-10-10T00:00:00,2026-10-17T00:00:00
