equipment_id,test_id,test_name,start,end
setup_sofia_2,mwcu_b10_2b_P-03-L_seq12,P-03-L,2028-01-10T00:00:00,2028-02-07T00:00:00
setup_sofia_2,mwcu_b10_2b_K-03_seq13,K-03,2028-02-07T00:00:00,2028-02-10T00:00:00
setup_sofia_2,mwcu_b10_2b_P-02_seq14,P-02,2028-02-10T00:00:00,2028-02-15T00:00:00
setup_sofia_2,mwcu_a7_3_P-03_seq13,P-03,2028-02-15T00:00:00,2028-03-14T00:00:00
setup_sofia_2,mwcu_b10_5_P-02_seq8,P-02,2028-03-14T00:00:00,2028-03-19T00:00:00
setup_sofia_2,mwcu_a7_2b_M-05_seq15,M-05,2028-03-19T00:00:00,2028-03-26T00:00:00
setup_sofia_2,mwcu_a7_2a_K-12_seq26,K-12,2028-03-26T00:00:00,2028-04-16T00:00:00
setup_sofia_2,mwcu_a7_5_Leak_seq10,Leak,2028-04-16T00:00:00,2028-04-19T00:00:00
setup_sofia_2,mwcu_a7_5a_P-02-L_seq1,P-02-L,2028-04-19T00:00:00,2028-04-24T00:00:00
setup_sofia_2,mwcu_a7_2a_K-02_seq28,K-02,2028-04-24T00:00:00,2028-05-08T00:00:00
setup_sofia_2,mwcu_b10_2b_P-03-E_seq18,P-03-E,2028-05-08T00:00:00,2028-06-05T00:00:00
setup_sofia_2,mwcu_b10_6_Leak_seq8,Leak,2028-06-05T00:00:00,2028-06-08T00:00:00
setup_sofia_2,mwcu_b10_3_P-03-E_seq15,P-03-E,2028-06-08T00:00:00,2028-07-06T00:00:00
setup_sofia_2,mwcu_b10_4_P-03-E_seq6,P-03-E,2028-07-06T00:00:00,2028-08-03T00:00:00
setup_sofia_2,mwcu_a7_3_Leak_seq16,Leak,2028-08-03T00:00:00,2028-08-06T00:00:00
setup_sofia_2,mwcu_a7_6_P-04_seq10,P-04,2028-09-04T00:00:00,2028-09-18T00:00:00
setup_sofia_2,mwcu_b10_5a_P-03-E_seq4,P-03-E,2028-09-18T00:00:00,2028-10-16T00:00:00
