resource_id,utilization_percent
fte_sofia_3,25.38
fte_sofia_4,24.28
setup_sofia_2,25.34
setup_sofia_4,24.53
fte_sofia_2,25.41
setup_sofia_3,25.19
setup_sofia_1,24.09
fte_sofia_1,24.09
